"Categorical variable","Level","Count_0","Proportion of Level_0","Proportion of Outcome_0","Count_1","Proportion of Level_1","Proportion of Outcome_1"
"cyl","4",1,0.06,0.09,10,0.71,0.91
"cyl","6",3,0.17,0.43,4,0.29,0.57
"cyl","8",14,0.78,1,0,0,0
"vs","0",18,1,1,0,0,0
"vs","1",0,0,0,14,1,1
"am","0",12,0.67,0.63,7,0.5,0.37
"am","1",6,0.33,0.46,7,0.5,0.54
"gear","3",12,0.67,0.86,2,0.14,0.14
"gear","4",0,0,0,9,0.64,1
"gear","5",4,0.22,0.8,1,0.07,0.2
"carb","1",0,0,0,7,0.5,1
"carb","2",5,0.28,0.5,5,0.36,0.5
"carb","3",3,0.17,1,0,0,0
"carb","4",8,0.44,0.8,2,0.14,0.2
"carb","6",1,0.06,1,0,0,0
"carb","8",1,0.06,1,0,0,0
