"Categorical variable","Level","Mean outcome","SD outcome ","Minimum outcome","1st percentile outcome","5th percentile outcome","10th percentile outcome","25th percentile outcome","50th percentile outcome","75th percentile outcome","90th percentile outcome","95th percentile outcome","99th percentile outcome","Maximum outcome"
"cyl","6",19.7428571428571,1.45356704106042,17.8,17.818,17.89,17.98,18.65,19.7,21,21.16,21.28,21.376,21.4
"cyl","4",26.6636363636364,4.50982765242148,21.4,21.41,21.45,21.5,22.8,26,30.4,32.4,33.15,33.75,33.9
"cyl","8",15.1,2.56004807647164,10.4,10.4,10.4,11.27,14.4,15.2,16.25,18.28,18.875,19.135,19.2
"vs","0",16.6166666666667,3.86069941849919,10.4,10.4,10.4,12.43,14.775,15.65,19.075,21,21.75,25.15,26
"vs","1",24.5571428571429,5.37897821090647,17.8,17.839,17.995,18.43,21.4,22.8,29.625,31.8,32.925,33.705,33.9
"am","1",24.3923076923077,6.16650380935334,15,15.096,15.48,16.58,21,22.8,30.4,32,33,33.72,33.9
"am","0",17.1473684210526,3.83396638556131,10.4,10.4,10.4,12.72,14.95,17.3,19.2,21.76,22.96,24.112,24.4
"gear","3",15.7285714285714,3.15166099588249,10.4,10.4,10.4,11.27,14.4,15.35,17.9,19.05,20.005,21.201,21.5
"gear","4",25.5111111111111,5.80634231776866,17.8,17.912,18.36,18.92,21.4,24.4,30.4,32.7,33.3,33.78,33.9
"gear","5",21.38,6.65897890070242,15,15.032,15.16,15.32,15.8,19.7,26,28.64,29.52,30.224,30.4
"carb","4",15.79,3.91108112362241,10.4,10.4,10.4,10.4,13.55,15.25,18.85,21,21,21,21
"carb","1",25.3428571428571,6.00134905468683,18.1,18.298,19.09,20.08,21.45,22.8,29.85,33,33.45,33.81,33.9
"carb","2",22.4,5.472151719794,15.2,15.227,15.335,15.47,18.825,22.1,25.6,30.4,30.4,30.4,30.4
"carb","3",16.3,1.05356537528527,15.2,15.224,15.32,15.44,15.8,16.4,16.85,17.12,17.21,17.282,17.3
"carb","6",19.7,NA,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7
"carb","8",15,NA,15,15,15,15,15,15,15,15,15,15,15
